anio,ccaa,provincia,tipo_procedencia,categoria,especie,n_sueltas
2020,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,2410.0
2020,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,58.0
2020,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Aves,Codorniz,2000.0
2020,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,545.0
2020,Cataluña,Lérida,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,35424.0
2020,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,1250.0
2020,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,47.0
2020,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,2959.0
2020,Cataluña,Tarragona,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,38999.0
2020,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,5.0
2020,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,2135.0
2020,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,6543.0
2020,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,4633.0
2020,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,532.0
2020,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,1652.0
2020,Extremadura,Badajoz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,66712.0
2020,Extremadura,Cáceres,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,36.0
2020,Extremadura,Cáceres,OTRAS PROCEDENCIAS,Caza Mayor,Corzo,16.0
2020,Extremadura,Cáceres,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,20.0
2020,Extremadura,Cáceres,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,30.0
2020,Extremadura,Cáceres,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,4675.0
2020,Extremadura,Cáceres,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,78750.0
2020,Galicia,La Coruña,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,50545.0
2020,Galicia,La Coruña,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,270.0
2020,Galicia,La Coruña,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,6550.0
2020,Galicia,La Coruña,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,34040.0
2020,Galicia,Lugo,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,3300.0
2020,Galicia,Lugo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,500.0
2020,Galicia,Lugo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,750.0
2020,Galicia,Lugo,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,14240.0
2020,Galicia,Orense,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,8385.0
2020,Galicia,Orense,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,650.0
2020,Galicia,Orense,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,6635.0
2020,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,19372.0
2020,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,150.0
2020,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,2735.0
2020,Galicia,Pontevedra,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,6195.0
2020,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,40.0
2020,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,0.0
2020,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,1301.0
2020,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Liebre,10.0
2020,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,9133.0
2020,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,6900.0
2020,Madrid,Madrid,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,153805.0
2020,Murcia,Murcia,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,22455.0
2020,País Vasco,Álava,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,13235.0
2020,País Vasco,Álava,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,190.0
2020,País Vasco,Álava,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,1830.0
2020,País Vasco,Guipúzcoa,ADMINISTRACIÓN,Caza Menor de Mamíferos,Liebre,25.0
2020,País Vasco,Vizcaya,ADMINISTRACIÓN,Caza Menor de Aves,Faisán,450.0
2020,País Vasco,Vizcaya,ADMINISTRACIÓN,Caza Menor de Aves,Perdiz,450.0
2020,País Vasco,Vizcaya,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,200.0
2019,Andalucía,Almería,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,900.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,24.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Mayor,Corzo,152.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,432.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,21704.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Liebre,3.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,700.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,621.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,300.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,280.0
2019,Andalucía,Cádiz,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,1385.0
2019,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,400.0
2019,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,500.0
2019,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,1000.0
2019,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,500.0
2019,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,600.0
2019,Andalucía,Córdoba,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,3000.0
2019,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Mayor,Cabra montés,14.0
2019,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,1005.0
2019,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,450.0
2019,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,250.0
2019,Andalucía,Granada,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,13808.0
2019,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,20.0
2019,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,400.0
2019,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,400.0
2019,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,750.0
2019,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,1245.0
2019,Andalucía,Huelva,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,15065.0
2019,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,150.0
2019,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,20.0
2019,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,6687.0
2019,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,140.0
2019,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,590.0
2019,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,300.0
2019,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,140.0
2019,Andalucía,Jaén,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,12179.0
2019,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,896.0
2019,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,1500.0
2019,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,5546.0
2019,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,2110.0
2019,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,400.0
2019,Andalucía,Málaga,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,22630.0
2019,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,160.0
2019,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Mayor,Corzo,6.0
2019,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Mayor,Gamo,28.0
2019,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Mayor,Muflón,55.0
2019,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,3135.0
2019,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,450.0
2019,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,350.0
2019,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,550.0
2019,Andalucía,Sevilla,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,43359.0
2019,Aragón,Huesca,OTRAS PROCEDENCIAS,Caza Mayor,Ciervo,6.0
2019,Aragón,Huesca,OTRAS PROCEDENCIAS,Caza Mayor,Gamo,10.0
2019,Aragón,Huesca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,200.0
2019,Aragón,Huesca,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,5746.0
2019,Aragón,Teruel,OTRAS PROCEDENCIAS,Caza Mayor,Jabalí,120.0
2019,Aragón,Teruel,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,2580.0
2019,Aragón,Teruel,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,2550.0
2019,Aragón,Zaragoza,OTRAS PROCEDENCIAS,Caza Menor de Mamíferos,Conejo,9200.0
2019,Aragón,Zaragoza,OTRAS PROCEDENCIAS,Caza Menor de Aves,Acuáticas y anátidas,120.0
2019,Aragón,Zaragoza,OTRAS PROCEDENCIAS,Caza Menor de Aves,Codorniz,540.0
2019,Aragón,Zaragoza,OTRAS PROCEDENCIAS,Caza Menor de Aves,Faisán,25.0
2019,Aragón,Zaragoza,OTRAS PROCEDENCIAS,Caza Menor de Aves,Paloma,30.0
2019,Aragón,Zaragoza,OTRAS PROCEDENCIAS,Caza Menor de Aves,Perdiz,29002.0
2019,Baleares,Baleares,ADMINISTRACIÓN,Caza Menor de Mamíferos,Conejo,326.0
