anio,ccaa,provincia,licencias_expedidas,importe_expedidas,lic_vigentes_anteriores
2012,Castilla y León,Segovia,1564.0,42078.65,
2012,Castilla y León,Soria,2115.0,61425.65,
2012,Castilla y León,Valladolid,95829.0,2439397.35,
2012,Castilla y León,Zamora,3257.0,80846.6,
2012,Castilla-La Mancha,Albacete,14544.0,397805.36,7257.0
2012,Castilla-La Mancha,Ciudad Real,23210.0,662840.29,7467.0
2012,Castilla-La Mancha,Cuenca,17547.0,459504.55,4338.0
2012,Castilla-La Mancha,Guadalajara,14003.0,477118.67,2918.0
2012,Castilla-La Mancha,Toledo,31746.0,859676.42,8544.0
2012,Cataluña,Barcelona,25867.0,618183.0,21742.0
2012,Cataluña,Gerona,14152.0,338236.0,12575.0
2012,Cataluña,Lérida,13565.0,319869.0,12006.0
2012,Cataluña,Tarragona,15244.0,362448.0,18850.0
2012,Extremadura,Badajoz,43843.0,,
2012,Extremadura,Cáceres,24193.0,,
2012,Galicia,La Coruña,16827.0,437795.54,
2012,Galicia,Lugo,10688.0,275553.69,
2012,Galicia,Orense,10181.0,258360.5,
2012,Galicia,Pontevedra,11934.0,311710.28,
2012,La Rioja,La Rioja,9279.0,224798.22,2961.0
2012,Madrid,Madrid,14196.0,,18654.0
2012,Murcia,Murcia,14104.0,375844.18,8561.0
2012,Navarra,Navarra,24484.0,293808.0,
2012,País Vasco,Guipúzcoa,17834.0,177452.7,
2012,País Vasco,Vizcaya,13846.0,148962.0,
2012,C. Valenciana,(Total CCAA),48037.0,,16087.0
2012,Asturias,(Total CCAA),7202.0,,13336.0
2011,Andalucía,Almería,24880.0,429891.63,46965.0
2011,Andalucía,Cádiz,24384.0,356232.01,48387.0
2011,Andalucía,Córdoba,44733.0,620308.06,81422.0
2011,Andalucía,Granada,32002.0,488891.69,62451.0
2011,Andalucía,Huelva,25488.0,406068.61,44989.0
2011,Andalucía,Jaén,33993.0,495085.83,57376.0
2011,Andalucía,Málaga,27343.0,439192.11,56575.0
2011,Andalucía,Sevilla,62479.0,894720.06,126403.0
2011,Aragón,Huesca,,,
2011,Aragón,Teruel,,,
2011,Aragón,Zaragoza,44100.0,1355548.23,
2011,Baleares,Baleares,11164.0,,4531.0
2011,Canarias,Las Palmas,8726.0,113707.0,
2011,Canarias,Tenerife,10525.0,331696.4,
2011,Cantabria,Cantabria,7075.0,122033.45,3272.0
2011,Castilla y León,Ávila,3441.0,95431.3,
2011,Castilla y León,Burgos,4237.0,112034.55,
2011,Castilla y León,León,6166.0,154307.2,
2011,Castilla y León,Palencia,2953.0,75806.9,
2011,Castilla y León,Salamanca,4199.0,112243.6,
2011,Castilla y León,Segovia,1558.0,42584.55,
2011,Castilla y León,Soria,2235.0,66248.3,
2011,Castilla y León,Valladolid,94996.0,2524487.65,
2011,Castilla y León,Zamora,3680.0,90522.5,
2011,Castilla-La Mancha,Albacete,16127.0,410383.34,7124.0
2011,Castilla-La Mancha,Ciudad Real,24282.0,646838.42,7078.0
2011,Castilla-La Mancha,Cuenca,19084.0,466818.18,4122.0
2011,Castilla-La Mancha,Guadalajara,14612.0,482968.98,2897.0
2011,Castilla-La Mancha,Toledo,54627.0,1507927.18,13055.0
2011,Cataluña,Barcelona,21742.0,423457.0,29237.0
2011,Cataluña,Gerona,12575.0,256842.0,14077.0
2011,Cataluña,Lérida,12006.0,245404.0,13136.0
2011,Cataluña,Tarragona,18850.0,383760.0,18026.0
2011,Extremadura,Badajoz,39767.0,507513.75,61094.0
2011,Extremadura,Cáceres,21413.0,273276.64,32897.0
2011,Galicia,La Coruña,15862.0,412666.1,
2011,Galicia,Lugo,11214.0,287529.0,
2011,Galicia,Orense,10892.0,276176.8,
2011,Galicia,Pontevedra,12228.0,320306.4,
2011,La Rioja,La Rioja,10237.0,268869.59,2700.0
2011,Madrid,Madrid,15105.0,,15858.0
